,kp_foot,Max-height,Range,Average-height
80,11000.0,0.0198406327333654,0.066212571372832,-0.0132656529530506
81,11100.0,0.0199924308281233,0.0666321338889814,-0.0133236361163674
82,11200.0,0.0200306486694269,0.0665030076490115,-0.01322085515507885
83,11300.0,0.0198717806361978,0.0669106672985509,-0.013583553013077648
84,11400.0,0.0199163409639904,0.0661551676453315,-0.01316124285867535
85,11500.0,0.0197600758246571,0.0671982716932238,-0.0138390600219548
86,11600.0,0.0198521480374073,0.0667179142681654,-0.013506809096675402
87,11700.0,0.0196765643446919,0.0668625553351679,-0.013754713322892048
88,11800.0,0.0197620658054625,0.06672622648033161,-0.013601047434703301
89,11900.0,0.0197636933557595,0.0661720237019653,-0.013322318495223149
